THREAD 360042496: 5 moves possible after move #6; creating threads
THREAD 361115648: 5 moves possible after move #6; creating threads
THREAD 391163904: 7 moves possible after move #6; creating threads
THREAD 390627328: 7 moves possible after move #6; creating threads
THREAD 392237056: 4 moves possible after move #6; creating threads
THREAD 392773632: 6 moves possible after move #6; creating threads
THREAD 393310208: 2 moves possible after move #6; creating threads
THREAD 391700480: 5 moves possible after move #5; creating threads
THREAD 395456512: 5 moves possible after move #6; creating threads
THREAD 395993088: 6 moves possible after move #6; creating threads
THREAD 396529664: 3 moves possible after move #6; creating threads
THREAD 397066240: 3 moves possible after move #6; creating threads
THREAD 398139392: 3 moves possible after move #6; creating threads
THREAD 398675968: 3 moves possible after move #6; creating threads
THREAD 399749120: 3 moves possible after move #6; creating threads
THREAD 399212544: 7 moves possible after move #6; creating threads
THREAD 400285696: 5 moves possible after move #6; creating threads
THREAD 400822272: 4 moves possible after move #6; creating threads
THREAD 401358848: 2 moves possible after move #6; creating threads
THREAD 402432000: 7 moves possible after move #5; creating threads
THREAD 364871680: 5 moves possible after move #6; creating threads
THREAD 401895424: 7 moves possible after move #5; creating threads
THREAD 402968576: 7 moves possible after move #6; creating threads
THREAD 346628096: 2 moves possible after move #6; creating threads
THREAD 403505152: 6 moves possible after move #6; creating threads
THREAD 405651456: 5 moves possible after move #5; creating threads
THREAD 404578304: 7 moves possible after move #6; creating threads
THREAD 406724608: 3 moves possible after move #6; creating threads
THREAD 406188032: 3 moves possible after move #6; creating threads
THREAD 407797760: 6 moves possible after move #6; creating threads
THREAD 407261184: 2 moves possible after move #6; creating threads
THREAD 347164672: 3 moves possible after move #6; creating threads
THREAD 367017984: 6 moves possible after move #6; creating threads
THREAD 411017216: 3 moves possible after move #6; creating threads
THREAD 366481408: 4 moves possible after move #6; creating threads
THREAD 412626944: 3 moves possible after move #6; creating threads
THREAD 413700096: 5 moves possible after move #7; creating threads
THREAD 414236672: 6 moves possible after move #6; creating threads
THREAD 413163520: 5 moves possible after move #6; creating threads
THREAD 414773248: 5 moves possible after move #6; creating threads
THREAD 415309824: 3 moves possible after move #6; creating threads
THREAD 415846400: 7 moves possible after move #6; creating threads
THREAD 416919552: 3 moves possible after move #6; creating threads
THREAD 417456128: 6 moves possible after move #6; creating threads
THREAD 418529280: 3 moves possible after move #6; creating threads
THREAD 419065856: 4 moves possible after move #6; creating threads
THREAD 420675584: 3 moves possible after move #5; creating threads
THREAD 421212160: 5 moves possible after move #5; creating threads
THREAD 421748736: 7 moves possible after move #6; creating threads
THREAD 422821888: 3 moves possible after move #6; creating threads
THREAD 422285312: 5 moves possible after move #5; creating threads
THREAD 423895040: 7 moves possible after move #5; creating threads
THREAD 424431616: 7 moves possible after move #5; creating threads
THREAD 424968192: 5 moves possible after move #6; creating threads
THREAD 372383744: 3 moves possible after move #6; creating threads
THREAD 372920320: 5 moves possible after move #6; creating threads
THREAD 377212928: 7 moves possible after move #6; creating threads
THREAD 426041344: 7 moves possible after move #6; creating threads
THREAD 426577920: 3 moves possible after move #6; creating threads
THREAD 425504768: 3 moves possible after move #6; creating threads
THREAD 427114496: 7 moves possible after move #6; creating threads
THREAD 352530432: 4 moves possible after move #7; creating threads
THREAD 428724224: 3 moves possible after move #6; creating threads
THREAD 428187648: 3 moves possible after move #6; creating threads
THREAD 429797376: 2 moves possible after move #6; creating threads
THREAD 430333952: 5 moves possible after move #6; creating threads
THREAD 430870528: 5 moves possible after move #6; creating threads
THREAD 431407104: 7 moves possible after move #5; creating threads
THREAD 431943680: 3 moves possible after move #6; creating threads
THREAD 433553408: 5 moves possible after move #7; creating threads
THREAD 434626560: 5 moves possible after move #5; creating threads
THREAD 435163136: 7 moves possible after move #6; creating threads
THREAD 390090752: 4 moves possible after move #6; creating threads
THREAD 436236288: 7 moves possible after move #6; creating threads
THREAD 436772864: 5 moves possible after move #6; creating threads
THREAD 435699712: 2 moves possible after move #6; creating threads
THREAD 393846784: 5 moves possible after move #6; creating threads
THREAD 394383360: 3 moves possible after move #6; creating threads
THREAD 394919936: 5 moves possible after move #6; creating threads
THREAD 437846016: 2 moves possible after move #5; creating threads
THREAD 397602816: 7 moves possible after move #6; creating threads
THREAD 438919168: 3 moves possible after move #6; creating threads
THREAD 439992320: 6 moves possible after move #6; creating threads
THREAD 439455744: 7 moves possible after move #6; creating threads
THREAD 440528896: 2 moves possible after move #6; creating threads
THREAD 441065472: 6 moves possible after move #6; creating threads
THREAD 441602048: 5 moves possible after move #6; creating threads
THREAD 442138624: 3 moves possible after move #6; creating threads
THREAD 365944832: 7 moves possible after move #6; creating threads
THREAD 442675200: 5 moves possible after move #7; creating threads
THREAD 443211776: 6 moves possible after move #5; creating threads
THREAD 443748352: 5 moves possible after move #6; creating threads
THREAD 444821504: 5 moves possible after move #5; creating threads
THREAD 445358080: 4 moves possible after move #6; creating threads
THREAD 444284928: 3 moves possible after move #6; creating threads
THREAD 405114880: 5 moves possible after move #6; creating threads
THREAD 446431232: 3 moves possible after move #5; creating threads
